id,name,host_id,room_type,reviews_per_month,calculated_host_listings_count,host_listings_ratio,distance_from_mrt,reviews_per_availability_ratio,host_experience,price
16296968,5,77901085,1,0.37,0.6931471805599453,1.681491819542298e-05,0.6640166685000921,11.0,7.6246189861593985,44
16309636,0,49380207,1,1.67,2.0794415416798357,0.00040723718657280816,0.20800379463301855,0.1656441717791411,112.28984325071113,87
16317734,4,106359670,2,0.03,0.6931471805599453,2.4313744559799654e-05,0.37169058798606863,1.0,0.6931471805599453,124
16332500,4,61619807,2,0.69,3.332204510175204,0.002162768343479654,0.542037964301729,0.07006369426751592,73.30849922385448,135
16345097,5,27869744,1,0.21,0.6931471805599453,0.0003238341968911917,0.7842178189669567,7.0,4.852030263919617,60
16354124,11,90604639,2,1.57,2.302585092994046,0.0029145077720207253,1.3181315954867636,0.34074074074074073,105.91891427772612,185
16381367,5,26246420,2,0.43,0.6931471805599453,0.0008787346221441124,0.4713714973925856,14.0,9.704060527839234,31
16382475,4,16305681,2,0.31,2.8903717578961645,0.00027909114788547413,0.42417795062431785,0.17307692307692307,26.01334582106548,199
16383852,4,16305681,2,0.12,2.8903717578961645,0.00027909114788547413,0.5377350276827486,0.03225806451612903,2.8903717578961645,199
16388822,5,29420853,2,0.31,4.955827057601261,0.0034282379829317514,0.40015825243734615,0.02694610778443114,44.60244351841135,131
16397873,5,58544659,1,0.1,1.0986122886681098,0.00016020506247997436,0.6198282967087377,0.5,3.295836866004329,74
16398559,11,104362490,1,1.54,1.0986122886681098,0.0017574692442882249,0.7424512778197478,0.1392757660167131,54.93061443340549,74
16398913,5,56421978,1,0.2,2.0794415416798357,0.00011770442736796085,0.7227669536188357,0.023391812865497075,8.317766166719343,65
16401676,6,61619807,2,2.08,3.332204510175204,0.002162768343479654,0.23560606611823295,0.2126984126984127,223.25770218173867,175
16407251,5,7353142,1,0.52,0.6931471805599453,0.00020911752404851526,0.5745047898947593,17.0,11.78350206951907,60
16407722,5,10510477,1,0.07,0.6931471805599453,0.00020911752404851526,0.21460502371568776,2.0,1.3862943611198906,56
16407773,5,107501827,2,2.6,2.1972245773362196,0.0004654139275117808,0.1049799679665655,1.3492063492063493,186.76408907357867,190
16408793,11,31464513,2,0.19,4.74493212836325,0.0019169006742782197,0.4274153815054122,0.007547169811320755,9.4898642567265,208
16411298,5,14521708,2,0.65,4.219507705176107,0.001099947465195692,0.3778734793634412,0.3448275862068966,84.39015410352214,94
16411675,5,14521708,2,0.35,4.219507705176107,0.001099947465195692,0.5142888635582553,0.12087912087912088,46.414584756937174,110
16412115,5,14521708,2,1.23,4.219507705176107,0.001099947465195692,0.5727887445473707,0.3670886075949367,122.3657234501071,94
16412556,5,14521708,2,0.78,4.219507705176107,0.001099947465195692,0.5752776939035414,0.21367521367521367,105.48769262940267,90
16412994,5,14521708,2,0.43,4.219507705176107,0.001099947465195692,0.5659960012282303,0.2545454545454545,59.0731078724655,90
16417299,5,97206233,1,0.4,2.3978952727983707,0.0040551500405515,0.13021095374360106,0.03880597014925373,31.17263854637882,150
16418916,4,97206233,1,0.62,2.3978952727983707,0.0040551500405515,0.3173168811712298,0.058823529411764705,45.56001018316904,90
16422291,11,90604639,2,1.91,2.302585092994046,0.0029145077720207253,1.3173580535915468,0.3933333333333333,135.8525204866487,164
16425946,5,55374796,1,0.15,0.6931471805599453,5.81767409389726e-05,0.3281676878280388,5.0,3.4657359027997265,131
16427874,4,12067440,1,0.49,3.044522437723423,0.0003362983639084596,0.2893136998774345,0.041666666666666664,45.667836565851346,135
16428014,4,12067440,1,1.81,3.044522437723423,0.0003362983639084596,0.5159107866184447,0.16338028169014085,176.58230138795852,56
16429519,4,12067440,1,1.18,3.044522437723423,0.0003362983639084596,0.4175874489557089,0.10555555555555556,115.69185263349007,62
16435491,11,8492007,2,0.13,5.318119993844216,0.00493569014563933,0.7279073536673695,0.01092896174863388,21.272479975376864,210
16435779,5,25205011,1,1.57,0.6931471805599453,1.681491819542298e-05,0.3522575979513151,0.2441860465116279,29.112181583517703,131
16443023,5,48754014,2,2.62,1.0986122886681098,5.830223880597015e-05,0.20912150848332958,84.0,92.28343224812122,219
16443411,7,1439258,1,0.16,3.4965075614664802,0.003938946331856229,0.507343641387566,0.01567398119122257,17.482537807332402,68
16460492,5,107501827,2,1.6,2.1972245773362196,0.0004654139275117808,0.0927913086901517,0.37410071942446044,114.25567802148342,240
16482875,5,11390076,1,0.22,2.9444389791664403,0.00569079987353778,0.14762055220484852,0.019230769230769232,20.61107285416508,75
16483770,2,108213578,1,1.11,1.6094379124341003,0.0012953367875647669,1.7190061815569315,0.10404624277456648,57.93976484762761,56
16519375,5,108476315,1,0.12,0.6931471805599453,8.010253123998718e-05,0.3558612154597044,0.003134796238244514,0.6931471805599453,60
16519829,5,47866620,1,1.54,2.6390573296152584,0.00021859393654049874,0.3762861965729412,0.2893081761006289,121.39663716230189,149
16522880,5,100353323,0,0.5,2.1972245773362196,0.0004654139275117808,0.058752885971972896,0.08839779005524862,35.15559323737951,28
16524551,0,100353323,0,0.32,2.1972245773362196,0.0004654139275117808,0.13574229227421977,0.055248618784530384,21.972245773362197,31
16525305,4,90604639,2,2.53,2.302585092994046,0.0029145077720207253,1.33095492810707,0.543046357615894,188.81197762551176,199
16527216,11,90604639,2,2.25,2.302585092994046,0.0029145077720207253,1.2636368963563374,0.5367647058823529,168.08871178856535,224
16552273,11,8948251,1,0.1,4.430816798843313,0.0013956382102201072,0.30658412285046166,0.002777777777777778,4.430816798843313,36
16562021,5,14521708,2,0.78,4.219507705176107,0.001099947465195692,0.5415081757786482,0.36923076923076925,101.26818492422657,94
16565237,6,61619807,2,2.51,3.332204510175204,0.010948905109489052,0.09769772125930752,0.2582781456953642,259.9119517936659,128
16565287,5,47866620,1,1.96,2.6390573296152584,0.00021859393654049874,0.3672825358597772,0.4217687074829932,163.62155443614603,60
16582518,11,31464513,2,0.25,4.74493212836325,0.0027717668798171607,0.9893364395147968,0.00546448087431694,9.4898642567265,244
16584402,6,109333133,2,2.94,2.9444389791664403,0.0014418455623197693,0.39575804453342756,0.3231292517006803,279.72170302081184,169
16590009,5,109391687,1,0.32,2.3978952727983707,0.003275466754012447,0.25865634685312155,0.028735632183908046,23.978952727983707,76
